#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 04 10 22 00 230  8.0 10.0   2.0    11    MM  MM 1019.4   1.8   1.3    MM   MM +0.4    MM
2014 04 10 21 00 240  7.0  9.0   1.8    12    MM  MM 1019.7   1.7   1.4    MM   MM +0.9    MM
2014 04 10 20 00 240  8.0 10.0   1.9    11    MM  MM 1019.6   1.6   1.4    MM   MM +1.2    MM
2014 04 10 19 00 240  8.0 10.0   1.7    11    MM  MM 1019.0   1.6   1.4    MM   MM +0.5    MM
2014 04 10 18 00 240  7.0  9.0   1.6    12    MM  MM 1018.8   1.7   1.6    MM   MM +0.6    MM
2014 04 10 17 00 250  6.0  9.0   1.6    10    MM  MM 1018.4   2.1   1.6    MM   MM +0.3    MM
2014 04 10 16 00 280  2.0  4.0   1.8    11    MM  MM 1018.5   2.7   1.7    MM   MM +1.3    MM
2014 04 10 15 00 300  4.0  5.0   1.6    11    MM  MM 1018.2   2.1   1.5    MM   MM +2.5    MM
2014 04 10 14 00 320  4.0  6.0   1.7    13    MM  MM 1018.1   0.7   1.4    MM   MM +3.2    MM
2014 04 10 13 00 310  5.0  6.0   1.9    12    MM  MM 1017.2  -0.1   1.3    MM   MM +4.4    MM
2014 04 10 12 00 330  7.0  8.0   2.1    12    MM  MM 1015.7  -0.4   1.2    MM   MM +4.9    MM
2014 04 10 11 00 320  6.0  7.0   2.3    11    MM  MM 1014.9  -0.4   1.2    MM   MM +5.9    MM
2014 04 10 10 00 320  7.0  8.0   2.5    12    MM  MM 1012.8  -0.2   0.9    MM   MM +5.5    MM
2014 04 10 09 00 340  7.0 11.0   2.6    14    MM  MM 1010.8   0.2   0.9    MM   MM +4.8    MM
2014 04 10 08 00 330  9.0 11.0   2.4    10    MM  MM 1009.0   0.8   1.0    MM   MM +4.3    MM
2014 04 10 07 00 330  8.0 12.0   2.5    12    MM  MM 1007.3   1.6   1.0    MM   MM   MM    MM
2014 04 10 06 00 330  8.0 11.0   2.5    10    MM  MM 1006.0   2.5   1.1    MM   MM +4.3    MM
2014 04 10 05 00 340  8.0 11.0   2.7    11    MM  MM 1004.7   3.7   1.1    MM   MM +3.7    MM
2014 04 10 03 00 280  4.0  6.0   2.7    11    MM  MM 1001.7   3.9   1.2    MM   MM +2.6    MM
2014 04 10 02 00 280  2.0  3.0   3.2    12    MM  MM 1001.0   3.4   1.2    MM   MM +2.6    MM
2014 04 10 01 00 280  3.0  4.0   3.0    11    MM  MM 1000.4   2.9   1.2    MM   MM +2.4    MM
2014 04 10 00 00 260  4.0  4.0   3.0    11    MM  MM  999.1   2.9   1.3    MM   MM +1.6    MM
2014 04 09 23 00 250  4.0  5.0   3.2    11    MM  MM  998.4   2.9   1.3    MM   MM +1.6    MM
2014 04 09 22 00 240  4.0  5.0   3.5    11    MM  MM  998.0   2.3   1.4    MM   MM +1.3    MM
2014 04 09 21 00 200  3.0  4.0   3.4    11    MM  MM  997.5   2.6   1.5    MM   MM +0.8    MM
2014 04 09 20 00 260  3.0  4.0   3.3    11    MM  MM  996.8   4.2   1.5    MM   MM +1.1    MM
2014 04 09 19 00 250  3.0  4.0   3.4    12    MM  MM  996.7   3.0   1.3    MM   MM +0.9    MM
2014 04 09 18 00 230  3.0  4.0   3.1    12    MM  MM  996.7   2.7   1.3    MM   MM +0.6    MM
2014 04 09 17 00 210  1.0  3.0   3.2    11    MM  MM  995.7   3.3   1.3    MM   MM -0.8    MM
2014 04 09 16 00 280  4.0  5.0   3.0    11    MM  MM  995.8   4.2   1.2    MM   MM -0.8    MM
2014 04 09 15 00 250  4.0  5.0   3.5    11    MM  MM  996.1   2.4   1.2    MM   MM +0.7    MM
2014 04 09 14 00 240  4.0  5.0   3.4    11    MM  MM  996.5   2.7   1.1    MM   MM +1.0    MM
2014 04 09 13 00 240  5.0  6.0   3.7    10    MM  MM  996.6   2.4   1.1    MM   MM +2.1    MM
2014 04 09 12 00 240  4.0  6.0   3.6    11    MM  MM  995.4   2.1   1.0    MM   MM +1.6    MM
